account_id,observation_date,is_churn,like_per_month,newfriend_per_month,post_per_month,adview_per_month,dislike_per_month,unfriend_per_month,message_per_month,reply_per_month,account_tenure
7546,09/02/2020,FALSE,39,10,126,30,8,0,6,0,24
7547,09/02/2020,FALSE,9,1,6,6,4,0,6,4,24
7578,09/02/2020,FALSE,216,20,131,92,19,0,3,1,24
7583,09/02/2020,FALSE,22,1,16,2,15,0,310,113,24
7681,09/02/2020,FALSE,151,12,44,41,79,0,12,8,24
7685,09/02/2020,FALSE,176,14,37,41,12,0,10,6,24
7712,09/02/2020,FALSE,28,6,22,17,8,1,16,3,24
7718,09/02/2020,FALSE,29,2,21,7,1,0,4,3,24
7719,09/02/2020,FALSE,166,9,52,26,14,0,9,4,24
7729,09/02/2020,FALSE,180,6,29,101,12,1,5,0,24
7731,09/02/2020,FALSE,350,14,50,36,28,0,2,0,24
7797,09/02/2020,FALSE,8,1,8,2,1,0,23,1,24
7815,09/02/2020,FALSE,117,4,105,127,3,0,6,2,24
7911,09/02/2020,FALSE,136,5,24,119,12,1,44,20,24
7913,09/02/2020,FALSE,60,2,11,13,13,0,1,2,24
7935,09/02/2020,FALSE,127,9,54,17,14,1,24,11,24
8102,09/02/2020,FALSE,4,1,0,2,4,0,227,81,24
8132,09/02/2020,FALSE,90,4,8,31,3,0,2,1,24
8136,09/02/2020,FALSE,17,5,33,14,22,1,6,1,24
8176,09/02/2020,FALSE,10,4,6,11,18,0,107,64,24
8177,09/02/2020,FALSE,15,3,27,5,2,0,3,1,24
8228,09/02/2020,FALSE,45,2,8,53,6,0,32,17,24
8270,09/02/2020,FALSE,38,2,6,7,13,0,13,4,24
8330,09/02/2020,FALSE,118,17,59,22,11,0,4,0,24
8349,09/02/2020,FALSE,313,19,67,111,42,0,32,9,24
8366,09/02/2020,FALSE,198,10,132,111,7,0,6,6,24
8377,09/02/2020,FALSE,57,7,48,6,16,0,167,70,24
8399,09/02/2020,FALSE,131,13,88,51,0,0,54,6,24
8432,09/02/2020,FALSE,281,7,33,86,6,0,107,52,24
8463,09/02/2020,FALSE,62,10,35,23,8,0,27,7,24
8468,09/02/2020,FALSE,81,1,25,90,11,0,359,103,24
8517,09/02/2020,FALSE,8,2,26,2,4,0,54,42,24
8653,09/02/2020,FALSE,35,2,10,7,16,0,26,14,24
8663,09/02/2020,FALSE,282,22,55,19,0,0,5,1,24
8702,09/02/2020,FALSE,105,0,30,80,6,1,115,47,24
8766,09/02/2020,FALSE,52,6,19,20,45,1,2,2,24
8795,09/02/2020,FALSE,2,1,11,6,10,0,23,17,24
8806,09/02/2020,FALSE,81,2,12,21,3,0,4,5,24
8867,09/02/2020,FALSE,43,2,68,54,15,0,6,1,24
8869,09/02/2020,FALSE,22,5,6,23,10,0,0,0,24
8876,09/02/2020,FALSE,14,3,20,10,13,0,0,0,24
8884,09/02/2020,FALSE,191,17,9,17,35,0,5,1,24
8953,09/02/2020,FALSE,110,2,12,11,14,0,23,10,24
8996,09/02/2020,FALSE,104,18,151,158,4,0,22,2,24
9060,09/02/2020,FALSE,31,4,24,20,10,0,50,16,24
9178,09/02/2020,FALSE,46,7,26,3,5,1,1,1,24
9201,09/02/2020,FALSE,4,0,6,2,0,0,57,11,24
9208,09/02/2020,FALSE,52,3,10,14,2,0,42,14,24
9228,09/02/2020,FALSE,37,1,20,23,4,0,137,58,24
9242,09/02/2020,FALSE,116,25,307,63,38,0,20,15,24
9300,09/02/2020,FALSE,80,3,42,19,28,1,27,4,24
9306,09/02/2020,FALSE,19,3,33,14,7,0,3,0,24
9329,09/02/2020,FALSE,0,1,3,0,1,0,1,0,24
9335,09/02/2020,FALSE,15,3,14,0,0,0,0,1,24
9359,09/02/2020,FALSE,32,2,70,24,1,1,50,24,24
9369,09/02/2020,FALSE,154,50,211,179,49,1,4,1,24
9406,09/02/2020,FALSE,71,2,4,8,11,0,231,129,24
9477,09/02/2020,FALSE,14,2,5,6,15,0,11,5,24
9495,09/02/2020,FALSE,24,0,0,1,8,0,509,62,24
9507,09/02/2020,FALSE,53,10,35,5,9,0,145,58,24
9509,09/02/2020,FALSE,108,6,27,18,25,0,187,66,24
9575,09/02/2020,FALSE,83,7,83,13,10,0,132,69,24
9643,09/02/2020,FALSE,160,23,406,142,88,0,131,58,24
9669,09/02/2020,FALSE,61,5,9,8,1,0,21,19,24
9687,09/02/2020,FALSE,131,1,22,10,9,1,21,24,24
9698,09/02/2020,FALSE,38,2,22,25,1,1,0,0,24
9748,09/02/2020,FALSE,55,2,26,19,14,0,2,0,24
9834,09/02/2020,FALSE,87,0,79,46,25,0,2,0,24
9840,09/02/2020,FALSE,34,6,15,20,17,1,3,1,24
9857,09/02/2020,FALSE,119,9,7,32,7,0,7,1,24
9882,09/02/2020,FALSE,199,26,15,149,41,0,24,3,24
9905,09/02/2020,FALSE,78,4,17,10,14,1,51,4,24
9907,09/02/2020,FALSE,2,1,3,31,6,0,38,13,24
9919,09/02/2020,FALSE,4,2,19,2,5,0,16,1,24
9926,09/02/2020,FALSE,74,12,77,10,15,0,4,1,24
9951,09/02/2020,FALSE,27,22,47,13,30,1,119,37,24
9973,09/02/2020,FALSE,16,7,11,7,7,1,2,1,24
4,10/02/2020,FALSE,24,1,5,2,0,0,84,13,23
78,10/02/2020,FALSE,18,2,5,8,4,0,7,1,23
101,10/02/2020,FALSE,11,0,6,1,4,0,28,20,23
117,10/02/2020,FALSE,48,1,24,30,23,1,0,0,23
121,10/02/2020,FALSE,10,5,4,19,5,0,297,135,23
122,10/02/2020,FALSE,39,0,3,1,1,0,10,2,23
135,10/02/2020,FALSE,31,0,3,27,8,1,229,89,23
156,10/02/2020,FALSE,33,6,22,32,11,1,140,41,23
197,10/02/2020,FALSE,4,4,46,11,1,0,49,7,23
202,10/02/2020,FALSE,89,4,36,1,14,1,14,1,23
232,10/02/2020,FALSE,55,0,17,12,1,0,12,15,23
286,10/02/2020,FALSE,60,5,16,50,8,0,128,54,23
301,10/02/2020,FALSE,4,2,8,14,25,1,4,3,23
335,10/02/2020,FALSE,15,3,63,30,8,1,26,15,23
371,10/02/2020,FALSE,29,10,50,16,34,1,70,41,23
401,10/02/2020,FALSE,4,3,33,7,1,1,59,18,23
626,10/02/2020,FALSE,43,9,55,38,41,0,88,16,23
695,10/02/2020,FALSE,87,8,19,27,27,0,14,11,23
697,10/02/2020,FALSE,10,1,6,1,1,0,140,47,23
739,10/02/2020,FALSE,19,1,5,17,6,1,11,2,23
755,10/02/2020,FALSE,48,13,70,75,2,1,12,4,23
784,10/02/2020,FALSE,90,11,26,15,8,0,6,2,23
808,10/02/2020,FALSE,372,9,103,108,14,0,47,36,23
857,10/02/2020,FALSE,6,0,5,2,20,0,0,0,23
881,10/02/2020,FALSE,352,17,43,173,17,0,183,86,23
908,10/02/2020,FALSE,3,0,5,23,3,0,37,15,23
929,10/02/2020,FALSE,16,1,12,6,1,0,30,6,23
1009,10/02/2020,FALSE,167,24,13,76,14,0,54,37,23
1053,10/02/2020,FALSE,345,6,37,74,44,0,59,23,23
1149,10/02/2020,FALSE,78,19,87,103,20,0,57,4,23
1162,10/02/2020,FALSE,444,28,40,116,3,0,4,0,23
1214,10/02/2020,FALSE,137,10,26,27,5,0,31,16,23
1220,10/02/2020,FALSE,249,9,51,19,3,0,24,3,23
1247,10/02/2020,FALSE,307,22,21,69,28,0,33,10,23
1261,10/02/2020,FALSE,119,13,86,125,30,1,236,74,23
1266,10/02/2020,FALSE,70,18,41,28,16,1,51,19,23
1277,10/02/2020,FALSE,101,3,10,2,2,0,3,0,23
1285,10/02/2020,FALSE,256,5,16,18,0,1,3,1,23
1324,10/02/2020,FALSE,27,3,4,16,3,0,7,5,23
1335,10/02/2020,FALSE,11,2,7,2,15,1,7,4,23
1352,10/02/2020,FALSE,112,4,46,13,2,0,3,0,23
1409,10/02/2020,FALSE,26,4,39,12,20,0,3,0,23
1461,10/02/2020,FALSE,9,2,3,9,2,0,1,0,23
1466,10/02/2020,FALSE,53,6,9,12,8,0,24,5,23
1468,10/02/2020,FALSE,33,3,88,18,77,0,40,10,23
1501,10/02/2020,FALSE,18,7,18,23,10,0,33,25,23
1508,10/02/2020,FALSE,208,7,25,9,16,1,2,2,23
1571,10/02/2020,FALSE,234,4,44,240,19,0,10,4,23
1572,10/02/2020,FALSE,51,7,169,72,29,0,2,0,23
1573,10/02/2020,FALSE,32,2,10,4,0,0,5,1,23
1597,10/02/2020,FALSE,92,1,9,4,2,0,47,20,23
1659,10/02/2020,FALSE,34,2,2,4,17,0,34,17,23
1671,10/02/2020,FALSE,3,0,1,17,17,0,10,9,23
1683,10/02/2020,FALSE,45,5,11,14,3,0,26,12,23
1708,10/02/2020,FALSE,35,8,12,29,18,0,81,37,23
1715,10/02/2020,FALSE,7,3,19,22,15,0,207,45,23
1764,10/02/2020,FALSE,12,2,3,2,2,0,5,1,23
1833,10/02/2020,FALSE,68,0,23,14,9,0,88,14,23
1861,10/02/2020,FALSE,13,9,13,21,50,0,36,20,23
1862,10/02/2020,FALSE,31,2,17,26,14,0,5,2,23
1910,10/02/2020,FALSE,75,3,24,74,14,0,5,0,23
1931,10/02/2020,FALSE,24,1,6,2,3,0,18,11,23
1938,10/02/2020,FALSE,18,0,10,6,34,1,70,44,23
2038,10/02/2020,FALSE,39,4,2,55,22,0,3,1,23
2133,10/02/2020,FALSE,110,14,18,27,6,1,86,60,23
2181,10/02/2020,FALSE,75,4,38,51,13,0,4,2,23
2199,10/02/2020,FALSE,17,7,6,9,12,0,119,40,23
2208,10/02/2020,FALSE,21,44,75,30,11,2,19,2,23
2219,10/02/2020,FALSE,40,1,51,42,17,0,2,1,23
2242,10/02/2020,FALSE,99,8,35,62,22,0,2,1,23
2311,10/02/2020,FALSE,26,5,8,10,13,0,2,0,23
2406,10/02/2020,FALSE,30,3,24,43,7,1,9,0,23
2408,10/02/2020,FALSE,61,3,10,16,3,0,42,6,23
2442,10/02/2020,FALSE,40,10,72,137,8,0,49,18,23
2457,10/02/2020,FALSE,6,0,10,19,10,0,365,134,23
2462,10/02/2020,FALSE,44,5,123,10,11,0,45,21,23
2475,10/02/2020,FALSE,393,23,76,79,17,0,112,22,23
2478,10/02/2020,FALSE,6,0,2,10,0,0,17,7,23
2499,10/02/2020,FALSE,68,4,52,31,16,0,36,6,23
2544,10/02/2020,FALSE,37,5,58,52,4,1,336,143,23
2576,10/02/2020,FALSE,49,8,32,24,7,0,7,2,23
2579,10/02/2020,FALSE,12,7,37,37,52,1,26,2,23
2585,10/02/2020,FALSE,429,19,200,63,4,0,114,48,23
2657,10/02/2020,FALSE,154,7,86,100,33,0,83,8,23
2675,10/02/2020,FALSE,46,5,15,6,18,1,14,0,23
2757,10/02/2020,FALSE,64,8,20,35,16,0,16,0,23
2784,10/02/2020,FALSE,47,0,32,13,14,0,45,4,23
2793,10/02/2020,FALSE,6,4,1,13,2,0,9,0,23
2852,10/02/2020,FALSE,12,9,21,3,2,0,13,0,23
2929,10/02/2020,FALSE,11,1,12,7,8,1,13,7,23
2970,10/02/2020,FALSE,12,3,14,46,0,1,63,17,23
3023,10/02/2020,FALSE,196,19,67,42,26,0,0,0,23
3072,10/02/2020,FALSE,24,3,20,24,0,0,2,0,23
3075,10/02/2020,FALSE,5,3,3,4,4,0,327,184,23
3076,10/02/2020,FALSE,56,7,132,42,49,0,50,21,23
3091,10/02/2020,FALSE,1,1,6,3,2,1,20,19,23
3109,10/02/2020,FALSE,24,4,3,10,15,1,4,0,23
3151,10/02/2020,FALSE,27,7,12,124,2,0,14,3,23
3224,10/02/2020,FALSE,76,2,7,15,36,0,6,5,23
3236,10/02/2020,FALSE,17,1,15,9,7,2,247,75,23
3240,10/02/2020,FALSE,15,5,19,11,3,0,321,112,23
3288,10/02/2020,FALSE,68,2,17,12,9,0,9,4,23
3321,10/02/2020,FALSE,14,5,7,3,7,0,6,2,23
3335,10/02/2020,FALSE,8,2,7,10,15,0,506,207,23
3420,10/02/2020,FALSE,21,1,3,6,3,0,20,7,23
3439,10/02/2020,FALSE,211,3,6,22,27,1,621,209,23
3467,10/02/2020,FALSE,84,2,34,95,23,0,23,3,23
3555,10/02/2020,FALSE,3,0,1,1,5,0,5,0,23
3603,10/02/2020,FALSE,29,8,9,8,6,0,33,5,23
3641,10/02/2020,FALSE,69,5,29,22,6,0,10,8,23
3684,10/02/2020,FALSE,66,9,134,40,106,0,20,13,23
3687,10/02/2020,FALSE,22,4,12,13,13,0,113,67,23
3696,10/02/2020,FALSE,0,1,1,2,1,0,11,1,23
3704,10/02/2020,FALSE,14,9,42,20,10,0,1,2,23
3713,10/02/2020,FALSE,2,0,6,2,1,0,14,4,23
3748,10/02/2020,FALSE,1,1,11,1,6,1,7,1,23
3791,10/02/2020,FALSE,109,14,29,38,14,0,163,63,23
3798,10/02/2020,FALSE,20,3,12,27,5,0,307,159,23
3840,10/02/2020,FALSE,1,2,4,3,9,1,7,2,23
