account_id,observation_date,is_churn,like_per_month,newfriend_per_month,post_per_month,adview_per_month,dislike_per_month,unfriend_per_month,message_per_month,reply_per_month,adview_per_post,reply_per_message,like_per_post,post_per_message,unfriend_per_newfriend,dislike_pcnt,newfriend_pcnt_chng,days_since_newfriend
1149,2020-03-01,False,29.0,1.0,11.0,14.0,3.0,0.0,33.0,11.0,1.2727273,0.33333334,0.0,0.33333334,0.0,1.0,-0.6666666,28.0
1157,2020-03-01,False,266.0,5.0,29.0,51.0,12.0,0.0,27.0,9.0,1.7586207,0.33333334,0.0,1.074074,0.0,1.0,0.6666666,0.0
1202,2020-03-01,False,39.0,16.0,16.0,27.0,0.0,0.0,25.0,6.0,1.6875,0.24,0.0,0.64,0.0,0.0,0.6,3.0
1281,2020-03-01,False,831.0,7.0,223.0,172.0,30.0,0.0,110.0,40.0,0.77130044,0.36363637,0.0,2.0272727,0.0,1.0,-0.4166667,7.0
1315,2020-03-01,False,166.0,8.0,81.0,84.0,11.0,0.0,232.0,84.0,1.037037,0.36206895,0.0,0.34913793,0.0,1.0,0.1428572,3.0
1318,2020-03-01,False,3.0,9.0,25.0,20.0,5.0,0.0,34.0,17.0,0.8,0.5,0.0,0.7352941,0.0,1.0,1.25,2.0
1350,2020-03-01,False,16.0,1.0,6.0,23.0,3.0,0.0,7.0,1.0,3.8333333,0.14285715,0.0,0.85714287,0.0,1.0,-0.75,15.0
1371,2020-03-01,True,12.0,5.0,17.0,11.0,13.0,0.0,1.0,1.0,0.64705884,1.0,0.0,17.0,0.0,1.0,0.6666666,4.0
1378,2020-03-01,False,576.0,55.0,378.0,1229.0,27.0,0.0,28.0,21.0,3.2513227,0.75,0.0,13.5,0.0,1.0,0.0,0.0
1416,2020-03-01,False,49.0,10.0,19.0,36.0,40.0,0.5090909,4.0,1.0,1.8947369,0.25,0.0,4.75,0.05090909,1.0,0.0,0.0
1492,2020-03-01,False,32.0,1.0,7.0,15.0,2.0,0.0,48.0,25.0,2.142857,0.5208333,0.0,0.14583333,0.0,1.0,0.0,9.0
1526,2020-03-01,True,4.0,0.0,24.0,9.0,6.0,1.0181818,3.0,1.0,0.375,0.33333334,0.0,8.0,0.0,1.0,-1.0,38.0
1564,2020-03-01,False,53.0,19.0,36.0,55.0,7.0,0.0,59.0,46.0,1.5277778,0.779661,0.0,0.6101695,0.0,1.0,-0.17391306,4.0
1609,2020-03-01,False,181.0,17.0,177.0,21.0,9.0,1.0181818,7.0,0.0,0.118644066,0.0,0.0,25.285715,0.059893046,1.0,-0.055555582,2.0
1663,2020-03-01,False,56.0,1.0,42.0,19.0,30.0,0.0,65.0,32.0,0.45238096,0.4923077,0.0,0.64615387,0.0,1.0,-0.6666666,0.0
1678,2020-03-01,False,102.0,8.0,23.0,81.0,30.0,0.5090909,108.0,59.0,3.5217392,0.5462963,0.0,0.21296297,0.06363636,1.0,0.6,5.0
1691,2020-03-01,False,128.0,1.0,83.0,49.0,52.0,0.0,76.0,27.0,0.5903614,0.35526314,0.0,1.0921053,0.0,1.0,-0.75,11.0
1704,2020-03-01,False,21.0,8.0,14.0,10.0,5.0,0.0,410.0,194.0,0.71428573,0.47317073,0.0,0.034146342,0.0,1.0,1.6666667,3.0
1748,2020-03-01,False,35.0,10.0,8.0,32.0,45.0,1.0181818,10.0,7.0,4.0,0.7,0.0,0.8,0.10181818,1.0,0.111111164,0.0
1796,2020-03-01,False,53.0,4.0,19.0,19.0,26.0,0.0,84.0,28.0,1.0,0.33333334,0.0,0.22619048,0.0,1.0,-0.5555556,6.0
1800,2020-03-01,False,74.0,10.0,89.0,16.0,0.0,0.0,3.0,0.0,0.17977528,0.0,0.0,29.666666,0.0,0.0,-0.090909064,0.0
1832,2020-03-01,False,11.0,1.0,8.0,18.0,16.0,1.0181818,13.0,6.0,2.25,0.46153846,0.0,0.61538464,1.0181818,1.0,-0.6666666,19.0
1837,2020-03-01,False,32.0,1.0,16.0,88.0,2.0,0.0,77.0,12.0,5.5,0.15584415,0.0,0.20779221,0.0,1.0,-0.6666666,24.0
1846,2020-03-01,False,95.0,6.0,56.0,75.0,32.0,1.5272727,0.0,0.0,1.3392857,0.0,0.0,0.0,0.25454545,1.0,1.0,2.0
1859,2020-03-01,False,13.0,2.0,11.0,12.0,17.0,0.5090909,29.0,18.0,1.0909091,0.62068963,0.0,0.37931034,0.25454545,1.0,-0.5,12.0
1865,2020-03-01,False,31.0,6.0,43.0,109.0,6.0,1.0181818,14.0,5.0,2.5348837,0.35714287,0.0,3.0714285,0.16969697,1.0,0.0,2.0
1884,2020-03-01,False,44.0,5.0,22.0,40.0,12.0,0.0,4.0,0.0,1.8181819,0.0,0.0,5.5,0.0,1.0,-0.44444442,0.0
1984,2020-03-01,False,201.0,21.0,83.0,23.0,7.0,0.0,54.0,42.0,0.27710843,0.7777778,0.0,1.537037,0.0,1.0,-0.19230771,2.0
1989,2020-03-01,False,69.0,8.0,22.0,7.0,0.0,0.5090909,7.0,0.0,0.3181818,0.0,0.0,3.142857,0.06363636,0.0,0.33333337,5.0
2006,2020-03-01,False,381.0,26.0,91.0,75.0,18.0,0.0,6.0,1.0,0.82417583,0.16666667,0.0,15.166667,0.0,1.0,-0.2777778,5.0
2035,2020-03-01,False,21.0,2.0,20.0,6.0,7.0,0.0,16.0,2.0,0.3,0.125,0.0,1.25,0.0,1.0,-0.3333333,9.0
2138,2020-03-01,False,419.0,21.0,1193.0,156.0,71.0,0.5090909,51.0,20.0,0.13076279,0.39215687,0.0,23.392157,0.024242423,1.0,0.049999952,1.0
2256,2020-03-01,True,27.0,7.0,47.0,7.0,5.0,0.5090909,11.0,5.0,0.14893617,0.45454547,0.0,4.2727275,0.07272727,1.0,0.39999998,10.0
2292,2020-03-01,False,153.0,11.0,66.0,41.0,26.0,0.5090909,87.0,52.0,0.6212121,0.59770113,0.0,0.7586207,0.04628099,1.0,0.100000024,0.0
2317,2020-03-01,False,101.0,6.0,38.0,53.0,31.0,0.5090909,192.0,80.0,1.3947369,0.41666666,0.0,0.19791667,0.084848486,1.0,-0.25,1.0
2331,2020-03-01,False,44.0,0.0,11.0,2.0,2.0,0.0,43.0,39.0,0.18181819,0.90697676,0.0,0.25581396,0.0,1.0,0.0,0.0
2346,2020-03-01,False,25.0,2.0,14.0,24.0,13.0,0.0,5.0,0.0,1.7142857,0.0,0.0,2.8,0.0,1.0,-0.71428573,8.0
2351,2020-03-01,False,49.0,0.0,24.0,89.0,10.0,0.0,45.0,20.0,3.7083333,0.44444445,0.0,0.53333336,0.0,1.0,-1.0,29.0
2362,2020-03-01,False,134.0,33.0,89.0,130.0,21.0,1.5272727,19.0,12.0,1.4606742,0.6315789,0.0,4.6842103,0.04628099,1.0,-0.25,0.0
2394,2020-03-01,False,120.0,5.0,31.0,25.0,26.0,0.0,29.0,11.0,0.8064516,0.37931034,0.0,1.0689656,0.0,1.0,1.5,1.0
2411,2020-03-01,False,199.0,10.0,30.0,15.0,23.0,0.0,19.0,5.0,0.5,0.2631579,0.0,1.5789474,0.0,1.0,0.6666666,4.0
2414,2020-03-01,False,3.0,0.0,3.0,3.0,5.0,0.0,12.0,3.0,1.0,0.25,0.0,0.25,0.0,1.0,-1.0,32.0
2434,2020-03-01,False,11.0,2.0,8.0,10.0,17.0,0.5090909,180.0,51.0,1.25,0.28333333,0.0,0.044444446,0.25454545,1.0,-0.3333333,10.0
2439,2020-03-01,False,25.0,8.0,2.0,72.0,6.0,0.0,32.0,25.0,36.0,0.78125,0.0,0.0625,0.0,1.0,0.1428572,8.0
2465,2020-03-01,False,292.0,36.0,201.0,365.0,36.0,0.0,45.0,6.0,1.8159204,0.13333334,0.0,4.4666667,0.0,1.0,-0.12195122,1.0
2478,2020-03-01,False,14.0,3.0,4.0,12.0,9.0,0.5090909,36.0,20.0,3.0,0.5555556,0.0,0.11111111,0.16969697,1.0,0.5,6.0
2486,2020-03-01,False,216.0,15.0,56.0,32.0,5.0,0.5090909,13.0,1.0,0.5714286,0.07692308,0.0,4.3076925,0.033939395,1.0,0.25,0.0
2510,2020-03-01,False,7.0,2.0,14.0,10.0,3.0,1.0181818,21.0,0.0,0.71428573,0.0,0.0,0.6666667,0.5090909,1.0,1.0,12.0
2596,2020-03-01,False,122.0,20.0,19.0,20.0,5.0,0.0,9.0,3.0,1.0526316,0.33333334,0.0,2.1111112,0.0,1.0,0.0,0.0
2600,2020-03-01,False,30.0,2.0,20.0,11.0,2.0,0.0,9.0,1.0,0.55,0.11111111,0.0,2.2222223,0.0,1.0,-0.5,24.0
2623,2020-03-01,False,16.0,0.0,8.0,16.0,1.0,0.5090909,86.0,11.0,2.0,0.12790698,0.0,0.093023255,0.0,1.0,-1.0,29.0
2634,2020-03-01,False,419.0,13.0,131.0,87.0,38.0,0.0,32.0,16.0,0.66412216,0.5,0.0,4.09375,0.0,1.0,0.8571428,1.0
2645,2020-03-01,False,59.0,11.0,16.0,13.0,4.0,0.0,14.0,12.0,0.8125,0.85714287,0.0,1.1428572,0.0,1.0,-0.08333331,2.0
2656,2020-03-01,False,12.0,4.0,5.0,26.0,7.0,0.0,61.0,20.0,5.2,0.32786885,0.0,0.08196721,0.0,1.0,3.0,1.0
2683,2020-03-01,False,72.0,8.0,63.0,48.0,18.0,0.0,47.0,11.0,0.7619048,0.23404256,0.0,1.3404255,0.0,1.0,-0.111111104,3.0
2717,2020-03-01,False,47.0,15.0,26.0,70.0,7.0,0.5090909,5.0,0.0,2.6923077,0.0,0.0,5.2,0.033939395,1.0,0.15384614,0.0
2797,2020-03-01,False,20.0,3.0,8.0,9.0,8.0,0.5090909,84.0,44.0,1.125,0.52380955,0.0,0.0952381,0.16969697,1.0,0.5,2.0
2826,2020-03-01,False,58.0,27.0,119.0,17.0,7.0,0.0,20.0,10.0,0.14285715,0.5,0.0,5.95,0.0,1.0,0.6875,1.0
2829,2020-03-01,False,258.0,16.0,18.0,49.0,55.0,0.5090909,56.0,5.0,2.7222223,0.08928572,0.0,0.32142857,0.03181818,1.0,-0.27272725,8.0
2839,2020-03-01,True,53.0,0.0,10.0,24.0,11.0,1.5272727,17.0,10.0,2.4,0.5882353,0.0,0.5882353,0.0,1.0,0.0,0.0
2898,2020-03-01,False,41.0,3.0,29.0,37.0,2.0,0.5090909,16.0,1.0,1.2758621,0.0625,0.0,1.8125,0.16969697,1.0,0.5,17.0
2915,2020-03-01,False,42.0,6.0,61.0,20.0,18.0,0.0,19.0,15.0,0.32786885,0.7894737,0.0,3.2105262,0.0,1.0,-0.25,1.0
3012,2020-03-01,False,56.0,9.0,48.0,5.0,6.0,0.0,32.0,5.0,0.104166664,0.15625,0.0,1.5,0.0,1.0,0.125,0.0
3014,2020-03-01,False,4.0,3.0,1.0,7.0,31.0,0.0,25.0,3.0,7.0,0.12,0.0,0.04,0.0,1.0,0.5,11.0
3077,2020-03-01,False,20.0,2.0,5.0,6.0,7.0,0.0,1.0,1.0,1.2,1.0,0.0,5.0,0.0,1.0,-0.3333333,12.0
3083,2020-03-01,False,118.0,7.0,18.0,15.0,5.0,0.0,109.0,44.0,0.8333333,0.40366971,0.0,0.16513762,0.0,1.0,0.16666663,3.0
3098,2020-03-01,True,153.0,1.0,16.0,121.0,5.0,0.5090909,7.0,0.0,7.5625,0.0,0.0,2.2857144,0.5090909,1.0,-0.875,14.0
3131,2020-03-01,False,28.0,3.0,42.0,18.0,0.0,1.0181818,9.0,5.0,0.42857143,0.5555556,0.0,4.6666665,0.33939394,0.0,-0.25,15.0
3158,2020-03-01,False,746.0,9.0,105.0,189.0,14.0,0.5090909,323.0,103.0,1.8,0.31888545,0.0,0.32507738,0.056565657,1.0,0.28571427,1.0
3232,2020-03-01,False,12.0,0.0,20.0,18.0,8.0,0.5090909,27.0,9.0,0.9,0.33333334,0.0,0.7407407,0.0,1.0,-1.0,0.0
3244,2020-03-01,False,17.0,9.0,39.0,26.0,21.0,1.0181818,6.0,4.0,0.6666667,0.6666667,0.0,6.5,0.113131315,1.0,1.25,2.0
3249,2020-03-01,True,14.0,3.0,3.0,18.0,11.0,1.0181818,57.0,41.0,6.0,0.71929824,0.0,0.05263158,0.33939394,1.0,-0.6666666,23.0
3309,2020-03-01,True,4.0,0.0,3.0,10.0,6.0,0.0,2.0,2.0,3.3333333,1.0,0.0,1.5,0.0,1.0,-1.0,30.0
3337,2020-03-01,False,28.0,0.0,5.0,8.0,2.0,0.0,14.0,4.0,1.6,0.2857143,0.0,0.35714287,0.0,1.0,0.0,0.0
3356,2020-03-01,False,8.0,0.0,16.0,5.0,3.0,0.5090909,21.0,6.0,0.3125,0.2857143,0.0,0.7619048,0.0,1.0,0.0,0.0
3363,2020-03-01,False,4.0,1.0,1.0,12.0,2.0,0.0,24.0,20.0,12.0,0.8333333,0.0,0.041666668,0.0,1.0,0.0,18.0
3364,2020-03-01,False,19.0,5.0,14.0,13.0,23.0,0.0,17.0,2.0,0.9285714,0.11764706,0.0,0.8235294,0.0,1.0,0.0,4.0
3405,2020-03-01,False,50.0,3.0,25.0,13.0,7.0,0.5090909,11.0,5.0,0.52,0.45454547,0.0,2.2727273,0.16969697,1.0,-0.39999998,15.0
3450,2020-03-01,False,85.0,11.0,27.0,68.0,22.0,1.0181818,3.0,1.0,2.5185184,0.33333334,0.0,9.0,0.09256198,1.0,0.8333334,2.0
3500,2020-03-01,False,9.0,1.0,9.0,21.0,5.0,0.0,48.0,16.0,2.3333333,0.33333334,0.0,0.1875,0.0,1.0,0.0,21.0
3587,2020-03-01,True,29.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,42.0
3616,2020-03-01,False,413.0,22.0,132.0,24.0,10.0,0.5090909,16.0,3.0,0.18181819,0.1875,0.0,8.25,0.023140496,1.0,0.100000024,1.0
3627,2020-03-01,False,155.0,14.0,31.0,179.0,20.0,0.0,26.0,13.0,5.774194,0.5,0.0,1.1923077,0.0,1.0,-0.22222221,2.0
3648,2020-03-01,True,88.0,8.0,114.0,51.0,29.0,0.0,8.0,4.0,0.4473684,0.5,0.0,14.25,0.0,1.0,-0.19999999,1.0
3699,2020-03-01,False,10.0,8.0,8.0,60.0,8.0,0.0,27.0,17.0,7.5,0.6296296,0.0,0.2962963,0.0,1.0,0.1428572,1.0
3706,2020-03-01,False,13.0,1.0,14.0,95.0,27.0,0.5090909,41.0,14.0,6.785714,0.34146342,0.0,0.34146342,0.5090909,1.0,-0.8333333,19.0
3708,2020-03-01,False,18.0,4.0,16.0,32.0,4.0,0.0,109.0,18.0,2.0,0.16513762,0.0,0.14678898,0.0,1.0,-0.3333333,2.0
3751,2020-03-01,False,153.0,9.0,97.0,7.0,14.0,0.5090909,5.0,0.0,0.072164945,0.0,0.0,19.4,0.056565657,1.0,-0.3076923,2.0
3794,2020-03-01,False,21.0,10.0,37.0,37.0,6.0,0.0,290.0,118.0,1.0,0.40689656,0.0,0.1275862,0.0,1.0,-0.090909064,4.0
3826,2020-03-01,False,45.0,5.0,17.0,18.0,35.0,0.5090909,33.0,2.0,1.0588236,0.060606062,0.0,0.5151515,0.10181818,1.0,-0.5833334,1.0
3833,2020-03-01,True,19.0,3.0,12.0,23.0,12.0,0.0,1.0,0.0,1.9166666,0.0,0.0,12.0,0.0,1.0,0.5,8.0
3884,2020-03-01,True,77.0,6.0,70.0,339.0,31.0,0.0,3.0,0.0,4.8428574,0.0,0.0,23.333334,0.0,1.0,0.20000005,11.0
3885,2020-03-01,False,12.0,2.0,16.0,13.0,1.0,0.0,66.0,11.0,0.8125,0.16666667,0.0,0.24242425,0.0,1.0,-0.5,1.0
3920,2020-03-01,False,31.0,11.0,5.0,16.0,3.0,0.5090909,15.0,6.0,3.2,0.4,0.0,0.33333334,0.04628099,1.0,0.8333334,1.0
3937,2020-03-01,False,55.0,1.0,7.0,9.0,3.0,0.0,1.0,2.0,1.2857143,2.0,0.0,7.0,0.0,1.0,-0.5,27.0
3969,2020-03-01,False,80.0,4.0,24.0,33.0,54.0,0.0,57.0,13.0,1.375,0.22807017,0.0,0.42105263,0.0,1.0,-0.5,3.0
3986,2020-03-01,False,72.0,9.0,15.0,38.0,6.0,0.0,56.0,7.0,2.5333333,0.125,0.0,0.26785713,0.0,1.0,-0.39999998,10.0
3995,2020-03-01,False,53.0,2.0,16.0,14.0,15.0,0.0,5.0,2.0,0.875,0.4,0.0,3.2,0.0,1.0,-0.6,24.0
3999,2020-03-01,False,5.0,2.0,9.0,24.0,9.0,0.0,41.0,27.0,2.6666667,0.6585366,0.0,0.2195122,0.0,1.0,0.0,12.0
4057,2020-03-01,False,42.0,0.0,4.0,3.0,9.0,0.0,55.0,4.0,0.75,0.07272727,0.0,0.07272727,0.0,1.0,0.0,0.0
4114,2020-03-01,False,57.0,14.0,24.0,25.0,3.0,0.5090909,7.0,5.0,1.0416666,0.71428573,0.0,3.4285715,0.036363635,1.0,0.75,1.0
4121,2020-03-01,False,23.0,1.0,22.0,3.0,7.0,1.0181818,1.0,2.0,0.13636364,2.0,0.0,22.0,1.0181818,1.0,-0.75,17.0
4175,2020-03-01,False,34.0,12.0,5.0,29.0,3.0,0.5090909,5.0,0.0,5.8,0.0,0.0,1.0,0.042424243,1.0,0.71428573,0.0
4208,2020-03-01,False,3.0,3.0,5.0,2.0,43.0,0.5090909,31.0,17.0,0.4,0.5483871,0.0,0.16129032,0.16969697,1.0,0.0,8.0
4242,2020-03-01,False,11.0,1.0,3.0,3.0,1.0,0.5090909,12.0,4.0,1.0,0.33333334,0.0,0.25,0.5090909,1.0,0.0,24.0
4291,2020-03-01,False,72.0,8.0,28.0,14.0,22.0,1.0181818,2.0,2.0,0.5,1.0,0.0,14.0,0.12727273,1.0,-0.27272725,0.0
4298,2020-03-01,False,16.0,7.0,4.0,14.0,4.0,0.0,19.0,8.0,3.5,0.42105263,0.0,0.21052632,0.0,1.0,-0.22222221,11.0
4304,2020-03-01,False,21.0,1.0,2.0,8.0,6.0,0.0,90.0,23.0,4.0,0.25555557,0.0,0.022222223,0.0,1.0,-0.5,15.0
4333,2020-03-01,False,45.0,2.0,41.0,80.0,8.0,0.5090909,9.0,1.0,1.9512196,0.11111111,0.0,4.5555553,0.25454545,1.0,0.0,2.0
4408,2020-03-01,False,130.0,3.0,158.0,28.0,24.0,0.0,70.0,17.0,0.17721519,0.24285714,0.0,2.2571428,0.0,1.0,-0.625,2.0
4436,2020-03-01,False,5.0,1.0,21.0,21.0,10.0,0.5090909,39.0,21.0,1.0,0.53846157,0.0,0.53846157,0.5090909,1.0,-0.75,5.0
4469,2020-03-01,True,49.0,0.0,7.0,25.0,10.0,0.0,2.0,0.0,3.5714285,0.0,0.0,3.5,0.0,1.0,-1.0,47.0
4500,2020-03-01,False,170.0,21.0,427.0,202.0,100.0,1.0181818,0.0,1.0,0.4730679,0.0,0.0,0.0,0.048484847,1.0,-0.19230771,0.0
4514,2020-03-01,False,50.0,3.0,7.0,19.0,0.0,1.0181818,35.0,32.0,2.7142856,0.9142857,0.0,0.2,0.33939394,0.0,0.0,7.0
4614,2020-03-01,False,16.0,3.0,82.0,74.0,21.0,0.0,5.0,5.0,0.902439,1.0,0.0,16.4,0.0,1.0,0.5,8.0
4628,2020-03-01,False,23.0,1.0,17.0,27.0,4.0,0.0,43.0,14.0,1.5882353,0.3255814,0.0,0.39534885,0.0,1.0,-0.85714287,17.0
4636,2020-03-01,True,20.0,6.0,3.0,14.0,15.0,0.0,26.0,9.0,4.6666665,0.34615386,0.0,0.115384616,0.0,1.0,1.0,8.0
4648,2020-03-01,False,31.0,9.0,28.0,26.0,15.0,0.0,21.0,6.0,0.9285714,0.2857143,0.0,1.3333334,0.0,1.0,-0.100000024,1.0
4676,2020-03-01,False,147.0,8.0,79.0,24.0,19.0,1.0181818,26.0,4.0,0.30379745,0.15384616,0.0,3.0384614,0.12727273,1.0,-0.38461536,2.0
4681,2020-03-01,False,242.0,10.0,91.0,52.0,16.0,0.0,1.0,0.0,0.5714286,0.0,0.0,91.0,0.0,1.0,-0.090909064,0.0
4711,2020-03-01,False,717.0,12.0,98.0,210.0,33.0,0.0,2.0,0.0,2.142857,0.0,0.0,49.0,0.0,1.0,-0.25,7.0
4743,2020-03-01,False,2.0,0.0,6.0,3.0,0.0,0.0,8.0,0.0,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.0
4752,2020-03-01,False,822.0,22.0,219.0,92.0,110.0,1.0181818,18.0,5.0,0.42009133,0.2777778,0.0,12.166667,0.04628099,1.0,0.22222221,0.0
4764,2020-03-01,False,90.0,7.0,11.0,50.0,16.0,0.0,4.0,1.0,4.5454545,0.25,0.0,2.75,0.0,1.0,-0.125,5.0
4852,2020-03-01,False,275.0,4.0,26.0,16.0,8.0,1.0181818,118.0,24.0,0.61538464,0.20338982,0.0,0.22033899,0.25454545,1.0,-0.5555556,3.0
4900,2020-03-01,False,36.0,5.0,14.0,17.0,16.0,0.0,44.0,34.0,1.2142857,0.77272725,0.0,0.3181818,0.0,1.0,0.25,0.0
4934,2020-03-01,False,10.0,9.0,57.0,50.0,36.0,0.0,78.0,49.0,0.877193,0.6282051,0.0,0.7307692,0.0,1.0,-0.18181819,9.0
4937,2020-03-01,False,62.0,5.0,64.0,19.0,34.0,1.0181818,12.0,5.0,0.296875,0.41666666,0.0,5.3333335,0.20363636,1.0,0.25,1.0
4946,2020-03-01,False,36.0,4.0,49.0,24.0,10.0,0.0,57.0,20.0,0.48979592,0.3508772,0.0,0.8596491,0.0,1.0,0.33333337,1.0
5073,2020-03-01,False,45.0,6.0,50.0,14.0,10.0,0.0,16.0,5.0,0.28,0.3125,0.0,3.125,0.0,1.0,0.5,6.0
5079,2020-03-01,False,22.0,6.0,12.0,26.0,4.0,0.0,15.0,6.0,2.1666667,0.4,0.0,0.8,0.0,1.0,-0.57142854,5.0
